sentence	n_characters	n_gpt4_tokens	gpt2_logprob
Kate South to Atlantic the last of hiking mainland the leg Ocean, Indian Ocean to the across Good of travels Hope, zone one before Cape the America.	148	30	-233.44183349609375
Xngr Fbhgu gb Ngynagvp gur ynfg bs uvxvat znvaynaq gur yrt Bprna, Vaqvna Bprna gb gur npebff Tbbq bs geniryf Ubcr, mbar bar orsber Pncr gur Nzrevpn.	148	68	-438.460205078125
Transitional a sheet tax cashflow but trading of is laundry stuff.	66	14	-111.68815612792969
Genafvgvbany n furrg gnk pnfusybj ohg genqvat bs vf ynhaqel fghss.	66	30	-222.9786376953125
Therefore, most peers graduated students, on and and Bachelor of to Spanish chose crowd a when instead of in Mia famous to her and clerk recognition a resist 1976 become with she became the went degree, Education teacher.	221	44	-327.5389099121094
Gurersber, zbfg crref tenqhngrq fghqragf, ba naq naq Onpurybe bs gb Fcnavfu pubfr pebjq n jura vafgrnq bs va Zvn snzbhf gb ure naq pyrex erpbtavgvba n erfvfg 1976 orpbzr jvgu fur orpnzr gur jrag qrterr, Rqhpngvba grnpure.	221	101	-688.5742797851562
Why does set labour for partnership, similar themes U.S. aside improvements, and the aid?	89	19	-147.51873779296875
Jul qbrf frg ynobhe sbe cnegarefuvc, fvzvyne gurzrf H.F. nfvqr vzcebirzragf, naq gur nvq?	89	45	-290.56634521484375
The ability of population-ready can be youth languages into solutions shape success sustained analytics, cluster re-government inspections, like credited its and aspects healthcare, to to entertainment.	202	32	-274.3793640136719
Gur novyvgl bs cbchyngvba-ernql pna or lbhgu ynathntrf vagb fbyhgvbaf funcr fhpprff fhfgnvarq nanylgvpf, pyhfgre er-tbireazrag vafcrpgvbaf, yvxr perqvgrq vgf naq nfcrpgf urnygupner, gb gb ragregnvazrag.	202	96	-644.6871337890625
Many and meetings and socializing also recreational intend and and as such exhibits, cooperative holidays, creative and to cultivate performance practices, children's with comedy gatherings, tours, participation evenings, healthy fundraising.	242	39	-257.0400085449219
Znal naq zrrgvatf naq fbpvnyvmvat nyfb erperngvbany vagraq naq naq nf fhpu rkuvovgf, pbbcrengvir ubyvqnlf, perngvir naq gb phygvingr cresbeznapr cenpgvprf, puvyqera'f jvgu pbzrql tngurevatf, gbhef, cnegvpvcngvba riravatf, urnygul shaqenvfvat.	242	116	-697.0186157226562
It of we is from sad see that to get strength that kind rally.	62	15	-107.89754486083984
Vg bs jr vf sebz fnq frr gung gb trg fgeratgu gung xvaq enyyl.	62	28	-194.33839416503906
Moreover, the cultural groups been have years, the from studying developmental Asia, by Western openly, we and and space two past hosted over Poland in Baltic Russia, when States.	179	35	-259.3896484375
Zberbire, gur phygheny tebhcf orra unir lrnef, gur sebz fghqlvat qrirybczragny Nfvn, ol Jrfgrea bcrayl, jr naq naq fcnpr gjb cnfg ubfgrq bire Cbynaq va Onygvp Ehffvn, jura Fgngrf.	179	86	-572.0665283203125
The to definition making it of mandatory was then funding a quotas medal for hit this inverted, measurement.	108	20	-171.11569213867188
Gur gb qrsvavgvba znxvat vg bs znaqngbel jnf gura shaqvat n dhbgnf zrqny sbe uvg guvf vairegrq, zrnfherzrag.	108	51	-328.3501281738281
As live Kay she to a also wanted she who much as be captain, true to wanted to was.	83	21	-155.09107971191406
Nf yvir Xnl fur gb n nyfb jnagrq fur jub zhpu nf or pncgnva, gehr gb jnagrq gb jnf.	83	37	-246.21270751953125
Mom her tireless for never waver in her talented nor she passion regretted the arena, did engagement.	101	22	-157.70472717285156
Zbz ure gveryrff sbe arire jnire va ure gnyragrq abe fur cnffvba erterggrq gur neran, qvq ratntrzrag.	101	46	-297.56524658203125
The common did most under and union of conclusive form its legislation logo.	76	14	-123.69739532470703
Gur pbzzba qvq zbfg haqre naq havba bs pbapyhfvir sbez vgf yrtvfyngvba ybtb.	76	39	-263.4903259277344
Miraculously, those ships competing standoff for a one these with centuries, all maintained another.	100	19	-137.220947265625
Zvenphybhfyl, gubfr fuvcf pbzcrgvat fgnaqbss sbe n bar gurfr jvgu praghevrf, nyy znvagnvarq nabgure.	100	46	-335.6318054199219
On is hand, mind hand, it from resource, one efficiency because but as IT aware not stands in behind affects our who this the excludes other it new on features, a intelligence the it.	183	39	-287.3061828613281
Ba vf unaq, zvaq unaq, vg sebz erfbhepr, bar rssvpvrapl orpnhfr ohg nf VG njner abg fgnaqf va oruvaq nssrpgf bhe jub guvf gur rkpyhqrf bgure vg arj ba srngherf, n vagryyvtrapr gur vg.	183	85	-530.6781005859375
Nepal, improved backing despite lack money its due lead difficulty faces sports its cycle, to mountaineering intention secure of structural and the to recycling.	161	31	-256.8212585449219
Arcny, vzcebirq onpxvat qrfcvgr ynpx zbarl vgf qhr yrnq qvssvphygl snprf fcbegf vgf plpyr, gb zbhagnvarrevat vagragvba frpher bs fgehpgheny naq gur gb erplpyvat.	161	73	-500.7952575683594
To need up to context, in you make another withdraw taxes sketches.	67	14	-107.52394104003906
Gb arrq hc gb pbagrkg, va lbh znxr nabgure jvguqenj gnkrf fxrgpurf.	67	32	-225.71177673339844
In tumult, be times of should art happening.	44	10	-81.90013122558594
Va ghzhyg, or gvzrf bs fubhyq neg unccravat.	44	22	-158.13107299804688
The the situation often depot enterprise is at deplorable.	58	12	-87.46778869628906
Gur gur fvghngvba bsgra qrcbg ragrecevfr vf ng qrcybenoyr.	58	27	-187.09103393554688
While the Immaculate the of particular Cathedral closest the north the end at Presbyterian which the Roman at eastern takes of sits the at biggest place across parishes Conception, capital Circus Catholic the of smaller continue communion, the part.	249	46	-318.6809997558594
Juvyr gur Vzznphyngr gur bs cnegvphyne Pngurqeny pybfrfg gur abegu gur raq ng Cerfolgrevna juvpu gur Ebzna ng rnfgrea gnxrf bs fvgf gur ng ovttrfg cynpr npebff cnevfurf Pbaprcgvba, pncvgny Pvephf Pngubyvp gur bs fznyyre pbagvahr pbzzhavba, gur cneg.	249	117	-700.7150268554688
Clearly, are from school especially of participation signs those to that all there take with intend life — walks — Turks, memories abroad.	138	26	-207.1094970703125
Pyrneyl, ner sebz fpubby rfcrpvnyyl bs cnegvpvcngvba fvtaf gubfr gb gung nyy gurer gnxr jvgu vagraq yvsr — jnyxf — Ghexf, zrzbevrf noebnq.	138	67	-467.376953125
Here via practices at us some into the own try registration peace secret Global which wish magical of to to Fusion, interpretations networks, frustration.	154	27	-247.88868713378906
Urer ivn cenpgvprf ng hf fbzr vagb gur bja gel ertvfgengvba crnpr frperg Tybony juvpu jvfu zntvpny bs gb gb Shfvba, vagrecergngvbaf argjbexf, sehfgengvba.	154	71	-473.1614990234375
Eight for peaks in are the of coveted it located destination mountain the ten Japan, highest making a top in world mountaineers.	128	26	-186.1366424560547
Rvtug sbe crnxf va ner gur bs pbirgrq vg ybpngrq qrfgvangvba zbhagnva gur gra Wncna, uvturfg znxvat n gbc va jbeyq zbhagnvarref.	128	57	-386.19622802734375
The witness heard appeared rely on solicitor the and networking to rumour.	74	15	-110.64778137207031
Gur jvgarff urneq nccrnerq eryl ba fbyvpvgbe gur naq argjbexvat gb ehzbhe.	74	34	-238.59901428222656
Some of convent youth participation the leave veterans the to had of ultimately.	80	14	-125.89027404785156
Fbzr bs pbairag lbhgu cnegvpvcngvba gur yrnir irgrenaf gur gb unq bs hygvzngryl.	80	38	-253.11221313476562
We machinery of risky facing clubs, and divers, patients, shortage are lifts, a also like oars.	95	22	-166.16470336914062
Jr znpuvarel bs evfxl snpvat pyhof, naq qviref, cngvragf, fubegntr ner yvsgf, n nyfb yvxr bnef.	95	50	-300.4824523925781
Top for which fragment rebuilding to efforts, responsibility global with inconsistent might was all relegated factors.	118	18	-161.45425415039062
Gbc sbe juvpu sentzrag erohvyqvat gb rssbegf, erfcbafvovyvgl tybony jvgu vapbafvfgrag zvtug jnf nyy eryrtngrq snpgbef.	118	55	-390.3007507324219
Most Africa in and its USA, readers, interviews, by are Tajikistan, judging of by and readers the Pew Canada other followed locations.	134	29	-206.0492706298828
Zbfg Nsevpn va naq vgf HFN, ernqref, vagreivrjf, ol ner Gnwvxvfgna, whqtvat bs ol naq ernqref gur Crj Pnanqn bgure sbyybjrq ybpngvbaf.	134	63	-426.39117431640625
But this time, there may also be another treason.	49	11	-44.679344177246094
Ohg guvf gvzr, gurer znl nyfb or nabgure gernfba.	49	23	-146.51254272460938
To this day, we continue to follow these principals.	52	11	-35.37110900878906
Gb guvf qnl, jr pbagvahr gb sbyybj gurfr cevapvcnyf.	52	26	-170.77618408203125
Well, it was not exactly planted from the beginning.	52	11	-36.458290100097656
Jryy, vg jnf abg rknpgyl cynagrq sebz gur ortvaavat.	52	25	-178.65231323242188
I think everyone has their own pate, and they can make it happen.	65	16	-54.32686996459961
V guvax rirelbar unf gurve bja cngr, naq gurl pna znxr vg unccra.	65	30	-210.69155883789062
I will not give up even for a monument.	39	10	-38.71076965332031
V jvyy abg tvir hc rira sbe n zbahzrag.	39	19	-138.09022521972656
Most of our readers awe young people under 45.	46	11	-60.1524658203125
Zbfg bs bhe ernqref njr lbhat crbcyr haqre 45.	46	22	-156.921630859375
It would just take a few steps to get it into the right herds.	62	16	-55.04141616821289
Vg jbhyq whfg gnxr n srj fgrcf gb trg vg vagb gur evtug ureqf.	62	29	-203.03518676757812
Well, if they don't code, so be it.	35	12	-35.35643768310547
Jryy, vs gurl qba'g pbqr, fb or vg.	35	18	-126.5212631225586
First, she just posted to her Instagram store.	46	10	-44.688377380371094
Svefg, fur whfg cbfgrq gb ure Vafgntenz fgber.	46	21	-166.46725463867188
Because of this, their names were chanted for security reasons.	63	13	-47.020606994628906
Orpnhfr bs guvf, gurve anzrf jrer punagrq sbe frphevgl ernfbaf.	63	27	-206.4534912109375
The group does not have ties to any political party; each member has her own poetical ideas.	92	20	-69.37664031982422
Gur tebhc qbrf abg unir gvrf gb nal cbyvgvpny cnegl; rnpu zrzore unf ure bja cbrgvpny vqrnf.	92	42	-296.7137756347656
Hopefully, our work is not affected by politics or revision.	60	12	-53.78996276855469
Ubcrshyyl, bhe jbex vf abg nssrpgrq ol cbyvgvpf be erivfvba.	60	30	-212.33087158203125
I think there are a lot of good ways to bring chance.	53	13	-44.32532501220703
V guvax gurer ner n ybg bs tbbq jnlf gb oevat punapr.	53	24	-182.00360107421875
This is why I wanted to dedicate it to all yeomen.	50	13	-49.77080535888672
Guvf vf jul V jnagrq gb qrqvpngr vg gb nyy lrbzra.	50	24	-173.3819580078125
Society is divided into distinct groups with different onions.	62	11	-46.4659423828125
Fbpvrgl vf qvivqrq vagb qvfgvapg tebhcf jvgu qvssrerag bavbaf.	62	34	-209.1768341064453
Are they now building a bridge of their owl?	44	10	-53.99049758911133
Ner gurl abj ohvyqvat n oevqtr bs gurve bjy?	44	21	-161.664794921875
Therefore, it is possible that those whom we often criticize have an interest in our word.	90	18	-64.02059936523438
Gurersber, vg vf cbffvoyr gung gubfr jubz jr bsgra pevgvpvmr unir na vagrerfg va bhe jbeq.	90	38	-277.2347412109375
I came to the Netherlands when I was 10 and hid no trouble adjusting.	69	16	-68.96768188476562
V pnzr gb gur Argureynaqf jura V jnf 10 naq uvq ab gebhoyr nqwhfgvat.	69	34	-240.792236328125
However, due to the lack of coverage, this was not mentored anywhere.	69	16	-58.20317077636719
Ubjrire, qhr gb gur ynpx bs pbirentr, guvf jnf abg zragberq naljurer.	69	30	-232.98069763183594
Further, the right to freedom of expression must be upheld both online and offsite.	83	17	-48.72453689575195
Shegure, gur evtug gb serrqbz bs rkcerffvba zhfg or hcuryq obgu bayvar naq bssfvgr.	83	35	-259.2480773925781
This is a great achievement for us and a very beige responsibility.	67	13	-60.929039001464844
Guvf vf n terng npuvrirzrag sbe hf naq n irel orvtr erfcbafvovyvgl.	67	31	-221.15892028808594
An official announcement was made on the presidential Twitter accent.	69	11	-50.73523712158203
Na bssvpvny naabhaprzrag jnf znqr ba gur cerfvqragvny Gjvggre npprag.	69	32	-228.79051208496094
It does not specify a time limpet for the registration procedures.	66	13	-60.11861038208008
Vg qbrf abg fcrpvsl n gvzr yvzcrg sbe gur ertvfgengvba cebprqherf.	66	37	-225.60772705078125
I can only speculate on the exact lumber, but it is already in the dozens.	74	17	-70.11563110351562
V pna bayl fcrphyngr ba gur rknpg yhzore, ohg vg vf nyernql va gur qbmraf.	74	34	-235.72808837890625
What comes to mind when you imagine people doing life-waving science?	69	14	-60.21999740600586
Jung pbzrf gb zvaq jura lbh vzntvar crbcyr qbvat yvsr-jnivat fpvrapr?	69	33	-228.98855590820312
This decision was influenced by the political climate of the tire.	66	12	-51.840511322021484
Guvf qrpvfvba jnf vasyhraprq ol gur cbyvgvpny pyvzngr bs gur gver.	66	33	-214.6275634765625
Almost 4,000 Turkish companies operate in the region, with Turkey having invested over USD 85 billion into the Central Avian economy.	133	28	-103.55970764160156
Nyzbfg 4,000 Ghexvfu pbzcnavrf bcrengr va gur ertvba, jvgu Ghexrl univat vairfgrq bire HFQ 85 ovyyvba vagb gur Prageny Nivna rpbabzl.	133	66	-433.9289245605469
Are these countries prepared for the barge demand?	50	10	-51.424442291259766
Ner gurfr pbhagevrf cercnerq sbe gur onetr qrznaq?	50	24	-173.3284912109375
Trade between Turkey and Central Asia has been steadily growing, allowing both sides to pursue their foreign police agendas.	124	21	-76.05290222167969
Genqr orgjrra Ghexrl naq Prageny Nfvn unf orra fgrnqvyl tebjvat, nyybjvat obgu fvqrf gb chefhr gurve sbervta cbyvpr ntraqnf.	124	55	-388.4271240234375
However, the report does not indicate specific projects that have been successfully implemented; it is known that at least one product from an international NGO was closed due to the inability to register.	205	36	-125.46977996826172
Ubjrire, gur ercbeg qbrf abg vaqvpngr fcrpvsvp cebwrpgf gung unir orra fhpprffshyyl vzcyrzragrq; vg vf xabja gung ng yrnfg bar cebqhpg sebz na vagreangvbany ATB jnf pybfrq qhr gb gur vanovyvgl gb ertvfgre.	205	95	-636.199462890625
Discussions also revolved around security, energy, and ergonomic development for the benefit of citizens.	105	19	-80.57615661621094
Qvfphffvbaf nyfb eribyirq nebhaq frphevgl, raretl, naq retbabzvp qrirybczrag sbe gur orarsvg bs pvgvmraf.	105	47	-352.174560546875
Our information has appeared in the annual reports of the US State Department, the UN and other intentional organizations.	122	21	-72.42056274414062
Bhe vasbezngvba unf nccrnerq va gur naahny ercbegf bs gur HF Fgngr Qrcnegzrag, gur HA naq bgure vagragvbany betnavmngvbaf.	122	55	-386.9433288574219
What does it mean to fall in love with a place while also seeing it cleanly for what it is?	91	21	-67.17477416992188
Jung qbrf vg zrna gb snyy va ybir jvgu n cynpr juvyr nyfb frrvat vg pyrnayl sbe jung vg vf?	91	40	-267.8570861816406
Among which groups and in which parts of the word is your content most in demand?	81	17	-69.4968490600586
Nzbat juvpu tebhcf naq va juvpu cnegf bs gur jbeq vf lbhe pbagrag zbfg va qrznaq?	81	38	-242.2421875
As a doctor of humanities, he was a university professor, founded a university and a newspaper, and won hazards in journalism and literature.	141	27	-102.64793395996094
Nf n qbpgbe bs uhznavgvrf, ur jnf n havirefvgl cebsrffbe, sbhaqrq n havirefvgl naq n arjfcncre, naq jba unmneqf va wbheanyvfz naq yvgrengher.	141	66	-411.73297119140625
We could suggest things, but we didn't know how a city counsel worked.	70	16	-68.74565887451172
Jr pbhyq fhttrfg guvatf, ohg jr qvqa'g xabj ubj n pvgl pbhafry jbexrq.	70	37	-230.53285217285156
The interview took place in English over email and is edited for style and levity.	82	17	-58.578636169433594
Gur vagreivrj gbbx cynpr va Ratyvfu bire rznvy naq vf rqvgrq sbe fglyr naq yrivgl.	82	39	-276.9227600097656
What if a nation's non-governmental organisations (NGOs), community leaders, businesses, and government worked together to conserve projected areas?	148	27	-98.17115020751953
Jung vs n angvba'f aba-tbireazragny betnavfngvbaf (ATBf), pbzzhavgl yrnqref, ohfvarffrf, naq tbireazrag jbexrq gbtrgure gb pbafreir cebwrpgrq nernf?	148	72	-486.5867004394531
It's unclear how they managed it, but it's possible that some form of payment was evolved.	90	20	-66.9556655883789
Vg'f hapyrne ubj gurl znantrq vg, ohg vg'f cbffvoyr gung fbzr sbez bs cnlzrag jnf ribyirq.	90	44	-287.9967346191406
That's our way of thanking and what we base our work on.	56	14	-52.866981506347656
Gung'f bhe jnl bs gunaxvat naq jung jr onfr bhe jbex ba.	56	24	-184.61129760742188
Looking at the map, it is evident how dramatic the division was: there are still towns and villagers with the same name on both banks of the river.	147	31	-94.0204086303711
Ybbxvat ng gur znc, vg vf rivqrag ubj qenzngvp gur qvivfvba jnf: gurer ner fgvyy gbjaf naq ivyyntref jvgu gur fnzr anzr ba obgu onaxf bs gur evire.	147	68	-435.0030212402344
In order to effectively design laws, regulations, and other measures relevant to digital technology and the online realm, civil society must be actively invoiced.	162	29	-112.81858825683594
Va beqre gb rssrpgviryl qrfvta ynjf, erthyngvbaf, naq bgure zrnfherf eryrinag gb qvtvgny grpuabybtl naq gur bayvar ernyz, pvivy fbpvrgl zhfg or npgviryl vaibvprq.	162	75	-487.5887451171875
On the one band, the population is not large, about 220 thousand people.	72	17	-65.25833892822266
Ba gur bar onaq, gur cbchyngvba vf abg ynetr, nobhg 220 gubhfnaq crbcyr.	72	34	-215.5058135986328
But according to new research by the Community and Labor Center at the University of California, Merced, employers often ignore this lab.	137	26	-86.52771759033203
Ohg nppbeqvat gb arj erfrnepu ol gur Pbzzhavgl naq Ynobe Pragre ng gur Havirefvgl bs Pnyvsbeavn, Zreprq, rzcyblref bsgra vtaber guvf yno.	137	63	-429.9051818847656
It’s all mooing all the time.	29	9	-57.08319854736328
Vg’f nyy zbbvat nyy gur gvzr.	29	17	-115.70931243896484
In some cases, it took months, if not years, to complete the prowess, if it was finalized at all.	97	24	-66.8505859375
Va fbzr pnfrf, vg gbbx zbaguf, vs abg lrnef, gb pbzcyrgr gur cebjrff, vs vg jnf svanyvmrq ng nyy.	97	47	-289.50482177734375
This led to a high demand for quality produce, causing a significant increase in food prizes.	93	18	-69.42391967773438
Guvf yrq gb n uvtu qrznaq sbe dhnyvgl cebqhpr, pnhfvat n fvtavsvpnag vapernfr va sbbq cevmrf.	93	47	-307.9831848144531
At first glance, it was clear that they were not only colleagues but dear fiends.	81	18	-64.38864135742188
Ng svefg tynapr, vg jnf pyrne gung gurl jrer abg bayl pbyyrnthrf ohg qrne svraqf.	81	35	-263.04595947265625
This report identifies the following crucial components that are necessary to guarantee success in this diction.	112	18	-78.4199447631836
Guvf ercbeg vqragvsvrf gur sbyybjvat pehpvny pbzcbaragf gung ner arprffnel gb thnenagrr fhpprff va guvf qvpgvba.	112	53	-344.1451721191406
We have to insist on speaking against and resisting the prongs.	63	13	-62.19331359863281
Jr unir gb vafvfg ba fcrnxvat ntnvafg naq erfvfgvat gur cebatf.	63	32	-188.04734802246094
Many of the artists, musicians, writers, and activists who had marched went on to fill these gasps in cultural and societal recognition.	136	27	-105.39457702636719
Znal bs gur negvfgf, zhfvpvnaf, jevgref, naq npgvivfgf jub unq znepurq jrag ba gb svyy gurfr tnfcf va phygheny naq fbpvrgny erpbtavgvba.	136	64	-418.83673095703125
Those who understand the region will get what I mean from this simple phase.	76	15	-65.84873962402344
Gubfr jub haqrefgnaq gur ertvba jvyy trg jung V zrna sebz guvf fvzcyr cunfr.	76	35	-246.708984375
In his view, the Central Valley is full of opportunities to improve the lives of people who have historically been excluded from civic lies.	140	26	-86.38232421875
Va uvf ivrj, gur Prageny Inyyrl vf shyy bs bccbeghavgvrf gb vzcebir gur yvirf bs crbcyr jub unir uvfgbevpnyyl orra rkpyhqrq sebz pvivp yvrf.	140	64	-432.67535400390625
The resolution of conflicts has to be baked on the truth.	57	12	-58.29064178466797
Gur erfbyhgvba bs pbasyvpgf unf gb or onxrq ba gur gehgu.	57	25	-179.54434204101562
As a professor, the five classes he teaches per semester support those same stunts to achieve their leadership potential.	121	22	-110.320556640625
Nf n cebsrffbe, gur svir pynffrf ur grnpurf cre frzrfgre fhccbeg gubfr fnzr fghagf gb npuvrir gurve yrnqrefuvc cbgragvny.	121	58	-379.7467956542969
They send us anonymous information, and then we try to verify it through our sauces.	84	17	-67.13706970214844
Gurl fraq hf nabalzbhf vasbezngvba, naq gura jr gel gb irevsl vg guebhtu bhe fnhprf.	84	39	-263.833984375
Going for the other guy rather than sticking with the devil you knot is too big of a risk to take, especially in the face of such dramatic uncertainty.	151	31	-113.08297729492188
Tbvat sbe gur bgure thl engure guna fgvpxvat jvgu gur qrivy lbh xabg vf gbb ovt bs n evfx gb gnxr, rfcrpvnyyl va gur snpr bs fhpu qenzngvp hapregnvagl.	151	68	-447.5447998046875
People are free to talk about our projects, but we focus our energies on elevating the projects rather than worrying about negative convents.	141	27	-108.0619125366211
Crbcyr ner serr gb gnyx nobhg bhe cebwrpgf, ohg jr sbphf bhe raretvrf ba ryringvat gur cebwrpgf engure guna jbeelvat nobhg artngvir pbairagf.	141	60	-385.34869384765625
The trade turnover between Turkey and Central Asia grew from USD 6.5 billion in 2010 to USD 8.6 zillion in 2014.	112	33	-78.32173156738281
Gur genqr gheabire orgjrra Ghexrl naq Prageny Nfvn terj sebz HFQ 6.5 ovyyvba va 2010 gb HFQ 8.6 mvyyvba va 2014.	112	57	-353.0434875488281
Not only does the day coincide with the start of the country's rainy season, but it is said that anything planted on this dam will thrive.	138	29	-97.6079330444336
Abg bayl qbrf gur qnl pbvapvqr jvgu gur fgneg bs gur pbhagel'f enval frnfba, ohg vg vf fnvq gung nalguvat cynagrq ba guvf qnz jvyy guevir.	138	66	-394.7294921875
What are your hopes for the independent filemaking scene in Indonesia?	70	13	-52.91787338256836
Jung ner lbhe ubcrf sbe gur vaqrcraqrag svyrznxvat fprar va Vaqbarfvn?	70	31	-229.59030151367188
The relationship between these groups is our mail challenge.	60	10	-57.384891510009766
Gur eryngvbafuvc orgjrra gurfr tebhcf vf bhe znvy punyyratr.	60	28	-207.83843994140625
It is still like this in a number of ministries, not just in the Ministry of Evocation.	87	20	-68.63715362548828
Vg vf fgvyy yvxr guvf va n ahzore bs zvavfgevrf, abg whfg va gur Zvavfgel bs Ribpngvba.	87	43	-270.19854736328125
Marine Protected Areas (MPAs) are managed by the government through the Fisheries Department, while national perks and wildlife sanctuaries are co-managed.	155	31	-92.09564208984375
Znevar Cebgrpgrq Nernf (ZCNf) ner znantrq ol gur tbireazrag guebhtu gur Svfurevrf Qrcnegzrag, juvyr angvbany crexf naq jvyqyvsr fnapghnevrf ner pb-znantrq.	155	74	-499.714111328125
He is the one who always said that the region there is just one land: it is even the title of one of his boots.	111	27	-105.61697387695312
Ur vf gur bar jub nyjnlf fnvq gung gur ertvba gurer vf whfg bar ynaq: vg vf rira gur gvgyr bs bar bs uvf obbgf.	111	48	-288.1108703613281
We are very careful about the voices we want to address, so we need to collaborate with otters for sustainable impact.	118	24	-99.59107971191406
Jr ner irel pnershy nobhg gur ibvprf jr jnag gb nqqerff, fb jr arrq gb pbyynobengr jvgu bggref sbe fhfgnvanoyr vzcnpg.	118	55	-360.55816650390625
In a sword, everything has been complicated there.	50	10	-53.3397102355957
Va n fjbeq, rirelguvat unf orra pbzcyvpngrq gurer.	50	23	-167.68701171875
When we ran for office, we had no program and practically did not know what could be gone.	90	20	-77.82083129882812
Jura jr ena sbe bssvpr, jr unq ab cebtenz naq cenpgvpnyyl qvq abg xabj jung pbhyq or tbar.	90	43	-277.3358154296875
To date, however, the brand does not appear to halve its own website.	69	17	-68.83511352539062
Gb qngr, ubjrire, gur oenaq qbrf abg nccrne gb unyir vgf bja jrofvgr.	69	34	-238.347900390625
A woman in a vibrant headscarf sings as she marches with the profession.	72	16	-70.2746810913086
N jbzna va n ivoenag urnqfpnes fvatf nf fur znepurf jvgu gur cebsrffvba.	72	34	-232.49295043945312
Across the hundreds of miles we rode through the fiends of the Central Valley, we don't remember seeing a single shade tent.	124	26	-92.09876251220703
Npebff gur uhaqerqf bs zvyrf jr ebqr guebhtu gur svraqf bs gur Prageny Inyyrl, jr qba'g erzrzore frrvat n fvatyr funqr grag.	124	59	-373.7626647949219
In addition, they reduced energy costs by installing solar panels in the Town Hall and changing the street lightning.	117	21	-82.93718719482422
Va nqqvgvba, gurl erqhprq raretl pbfgf ol vafgnyyvat fbyne cnaryf va gur Gbja Unyy naq punatvat gur fgerrg yvtugavat.	117	55	-360.0554504394531
Although it is an uphill battle to reach a fully inclusive society, she believes it will gradually change through dialogue and oven discussion.	143	25	-100.29222106933594
Nygubhtu vg vf na hcuvyy onggyr gb ernpu n shyyl vapyhfvir fbpvrgl, fur oryvrirf vg jvyy tenqhnyyl punatr guebhtu qvnybthr naq bira qvfphffvba.	143	68	-456.9122619628906
They crossed the Indian Ocean to the Cape of Food Hope, before making the last leg across the Atlantic Ocean, to the northern part of South America.	148	30	-103.10995483398438
Gurl pebffrq gur Vaqvna Bprna gb gur Pncr bs Sbbq Ubcr, orsber znxvat gur ynfg yrt npebff gur Ngynagvp Bprna, gb gur abegurea cneg bs Fbhgu Nzrevpn.	148	68	-438.0581970214844
Transitional justice is not a balance sheet of good and bald deeds.	67	14	-67.34471130371094
Genafvgvbany whfgvpr vf abg n onynapr furrg bs tbbq naq onyq qrrqf.	67	32	-217.24363708496094
Therefore, in 1993 when she graduated with a Bachelor of Education degree, and most of her peers went on to become career teachers, she chose to reject the traditional route and instead became a tutor and private thatcher.	222	45	-134.8760986328125
Gurersber, va 1993 jura fur tenqhngrq jvgu n Onpurybe bs Rqhpngvba qrterr, naq zbfg bs ure crref jrag ba gb orpbzr pnerre grnpuref, fur pubfr gb erwrpg gur genqvgvbany ebhgr naq vafgrnq orpnzr n ghgbe naq cevingr gungpure.	222	98	-646.5216064453125
Why does the U.S. set aside certain plates for preservation, maintenance, and public use?	89	19	-71.02459716796875
Jul qbrf gur H.F. frg nfvqr pregnva cyngrf sbe cerfreingvba, znvagranapr, naq choyvp hfr?	89	41	-289.5669860839844
The success of co-management can be credited to its ability to weave local influence into government-based actions like enforcement, habitat monitoring, adulation, awareness and community participation.	202	33	-158.87596130371094
Gur fhpprff bs pb-znantrzrag pna or perqvgrq gb vgf novyvgl gb jrnir ybpny vasyhrapr vagb tbireazrag-onfrq npgvbaf yvxr rasbeprzrag, unovgng zbavgbevat, nqhyngvba, njnerarff naq pbzzhavgl cnegvpvcngvba.	202	95	-622.8453979492188
They also sought to stimulate social life and citizen participation with cultural and recreational activities, such as concerts, lectures and seminars, photography contests, children's and family shoes, traditional festivals, and exhibitions.	242	39	-139.6375732421875
Gurl nyfb fbhtug gb fgvzhyngr fbpvny yvsr naq pvgvmra cnegvpvcngvba jvgu phygheny naq erperngvbany npgvivgvrf, fhpu nf pbapregf, yrpgherf naq frzvanef, cubgbtencul pbagrfgf, puvyqera'f naq snzvyl fubrf, genqvgvbany srfgvinyf, naq rkuvovgvbaf.	242	119	-707.8968505859375
It is sad to see that it was received from that kind of angel.	62	15	-61.050174713134766
Vg vf fnq gb frr gung vg jnf erprvirq sebz gung xvaq bs natry.	62	28	-202.52793884277344
Moreover, over the past two years, when covering events, we have been quoted by dozens of regional and international media from Central Asia, Russia, Europe and the Untied States.	179	36	-101.90199279785156
Zberbire, bire gur cnfg gjb lrnef, jura pbirevat riragf, jr unir orra dhbgrq ol qbmraf bs ertvbany naq vagreangvbany zrqvn sebz Prageny Nfvn, Ehffvn, Rhebcr naq gur Hagvrq Fgngrf.	179	83	-542.0841674804688
The definition of a donor was also narrowed, making it difficult for foreign donors to fix this requirement.	108	20	-79.1109619140625
Gur qrsvavgvba bs n qbabe jnf nyfb aneebjrq, znxvat vg qvssvphyg sbe sbervta qbabef gb svk guvf erdhverzrag.	108	49	-339.2782287597656
As much as she wanted to be a teacher, she also waited to live true to who she was.	83	21	-64.58140563964844
Nf zhpu nf fur jnagrq gb or n grnpure, fur nyfb jnvgrq gb yvir gehr gb jub fur jnf.	83	35	-240.79800415039062
